"Year","Argentina","Australia","Austria","Barbados","Belgium","Brazil","Bulgaria","Canada","Chile","Colombia","Cyprus","Czech Rep.","Denmark","Estonia","Finland","France","Germany","Greece","Hong Kong, China","Hungary","Iceland","Ireland","Italy","Jamaica","Japan","Korea, Rep.","Latvia","Lithuania","Luxembourg","Malta","Mexico","Netherlands","New Zealand","Norway","Peru","Poland","Portugal","Romania","Saint Lucia","Singapore","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","Taiwan","Trinidad and Tobago","Turkey","United Kingdom","United States","USSR","Venezuela","West Germany"
"1990",9.35999965667725,20.3400001525879,21.7099990844727,,26.2399997711182,6.76000022888184,7.78000020980835,21.7600002288818,9.56999969482422,7.28999996185303,14.3800001144409,8.77999973297119,23.6299991607666,11.25,19.1599998474121,26.3899993896484,22.4300003051758,14.2700004577637,16.0200004577637,8.18000030517578,18.25,18.75,24.4599990844727,5.11999988555908,18.2900009155273,8.17000007629394,9.69999980926514,11.0699996948242,27.2000007629395,12.6599998474121,8.52999973297119,25.5499992370605,17.0900001525879,25.3199996948242,4.15999984741211,6.07999992370606,12.6099996566772,3.29999995231628,4.98999977111816,12.1599998474121,8.35999965667725,12.3800001144409,19.7299995422363,21.2199993133545,22.8199996948242,10.2399997711182,,8.75,20.6499996185303,26.3899993896484,8.35000038146973,13.789999961853,26.3999996185303
"1991",10.1700000762939,20.9599990844727,22.1000003814697,12.2200002670288,27.1599998474121,6.78999996185303,8.31999969482422,22.1299991607666,9.96000003814697,6.88000011444092,14.1499996185303,8.03999996185303,24.1599998474121,10.3400001525879,19.2800006866455,26.7999992370605,22.2700004577637,15.0299997329712,16.7199993133545,7.82000017166138,18.1800003051758,19.4799995422363,24.4599990844727,5.07000017166138,18.8500003814697,8.72000026702881,8.55000019073486,10.1899995803833,28.7600002288818,13.0900001525879,8.60000038146973,25.8999996185303,17.3199996948242,26.4099998474121,,6.1100001335144,13.3100004196167,2.94000005722046,4.84000015258789,12.1400003433228,7.76000022888184,12.1300001144409,20,21.5,22.2600002288818,10.8299999237061,17.9500007629395,8.47999954223633,21.1800003051758,26.7099990844727,7.8600001335144,14.6199998855591,27.4899997711182
"1992",11.0500001907349,21.9300003051758,22.2600002288818,12.1099996566772,27.8999996185303,6.75,8.60000038146973,22.9400005340576,10.8199996948242,7.17000007629394,15,7.8899998664856,24.6000003814697,9.21000003814697,19.8999996185303,27.4300003051758,22.8400001525879,14.6999998092651,17.9099998474121,8.5600004196167,17.4099998474121,20.3999996185303,25.3999996185303,5.11999988555908,19.1499996185303,9.13000011444092,6.26999998092651,8.21000003814697,28.7999992370606,14.039999961853,8.71000003814697,26.0900001525879,17.3500003814697,27.2199993133545,4.09999990463257,6.69000005722046,13.8299999237061,2.82999992370606,4.98999977111816,12.5799999237061,8.22999954223633,12.2799997329712,20.6900005340576,21.9799995422363,22.6100006103516,11.4300003051758,17.6700000762939,8.77999973297119,22.0900001525879,27.5799999237061,6.90000009536743,14.9899997711182,27.7999992370605
"1993",11.6700000762939,22.4300003051758,22.4699993133545,12.1400003433228,28.4799995422363,7.05000019073486,8.60999965667725,23.0300006866455,11.3400001525879,7.15999984741211,14.6899995803833,7.90999984741211,24.9500007629395,8.81999969482422,20.9400005340576,27.7000007629395,23.2000007629395,14.1999998092651,18.6399993896484,9.17000007629394,17.9899997711182,20.8500003814697,25.7700004577637,5.25,19.7600002288818,9.60000038146973,5.96999979019165,7.17999982833862,29.5200004577637,14.5299997329712,8.75,26.4599990844727,17.7900009155273,27.8400001525879,,7.1100001335144,13.9300003051758,2.98000001907349,4.65999984741211,13.8199996948242,8.39000034332275,12.8599996566772,21.5,22.4899997711182,22.7199993133545,12.0799999237061,17.2999992370605,9.85999965667725,23.0100002288818,27.6700000762939,,14.5500001907349,28.25
"1994",12.3599996566772,22.6700000762939,23.3999996185303,11.3800001144409,29.4899997711182,7.3899998664856,8.14000034332275,23.3799991607666,11.7399997711182,7.07999992370606,15.6199998855591,8.07999992370606,26.5499992370605,9.06999969482422,21.75,28.3299999237061,23.8799991607666,14.4499998092651,19.2000007629395,9.10999965667725,18.6299991607666,21.3600006103516,26.8099994659424,5.17999982833862,20.0400009155273,10.1000003814697,6.84999990463257,6.94000005722046,30.2099990844727,15.1199998855591,8.81999969482422,27.4200000762939,17.8999996185303,28.8899993896484,,7.03999996185303,14.3100004196167,2.91000008583069,4.84000015258789,14.7299995422363,9.06999969482422,12.710000038147,22.1700000762939,23.0200004577637,22.8899993896484,12.6700000762939,17.3099994659424,8.77999973297119,23.6599998474121,27.9200000762939,,13.6700000762939,29.0100002288818
"1995",11.6499996185303,22.7600002288818,24.7600002288818,11.0500001907349,29.2099990844727,7.61999988555908,8.23999977111816,23.75,12.8800001144409,7.84999990463257,17.0799999237061,8.40999984741211,27.0100002288818,9.98999977111816,22.2000007629395,29.1299991607666,24.5,14.6999998092651,19.6800003051758,9.30000019073486,17.9099998474121,22.3299999237061,27.6100006103516,5.11999988555908,20.5799999237061,10.6599998474121,7.59999990463257,7.34999990463257,29.6000003814697,15.6800003051758,8.36999988555908,27.75,17.9200000762939,29.8299999237061,,7.44000005722046,14.4899997711182,3.39000010490418,4.46000003814697,16.8600006103516,9.44999980926514,13.0500001907349,22.2399997711182,23.4699993133545,23.3299999237061,13.4799995422363,17.2199993133545,9.19999980926514,24.0100002288818,27.9500007629395,,13.7299995422363,30.0799999237061
"1996",12.1899995803833,23.4699993133545,24.9799995422363,10.6800003051758,29.9599990844727,8.02999973297119,7.40999984741211,23.7800006866455,13.5799999237061,7.73000001907349,17.1900005340576,8.68000030517578,27.6000003814697,10.6999998092651,22.7299995422363,29.25,25.0699996948242,14.7299995422363,19.4400005340576,9.40999984741211,18.4699993133545,23.2700004577637,27.6299991607666,5.09999990463257,20.9599990844727,11.210000038147,8.05000019073486,7.65999984741211,29.6800003051758,16.1000003814697,7.92000007629394,27.9899997711182,18.0100002288818,30.8299999237061,,7.76999998092651,15.1700000762939,3.45000004768372,4.8899998664856,15.6499996185303,10.0900001525879,13.7200002670288,22.2099990844727,23.8700008392334,23.5200004577637,14.3500003814697,17.7199993133545,9.48999977111816,24.6000003814697,28.6399993896484,,13.2299995422363,31.0499992370606
"1997",13.2399997711182,24.2800006866455,26.9200000762939,10.9300003051758,30.5699996948242,8.26000022888184,7.23999977111816,24.2099990844727,14.289999961853,8.15999984741211,17.6100006103516,8.59000015258789,27.8199996948242,11.8699998855591,23.3999996185303,29.8799991607666,25.7000007629395,15.4399995803833,19.8600006103516,9.77000045776367,19.6000003814697,25.6200008392334,28,5.07999992370606,21.3700008392334,11.7799997329712,8.35000038146973,8.25,30.5599994659424,16.8799991607666,8.17000007629394,28.4899997711182,18.3600006103516,31.6800003051758,,8.15999984741211,15.8299999237061,3.33999991416931,4.82000017166138,16.1399993896484,10.8299999237061,14.8199996948242,22.2399997711182,24.6800003051758,24.0499992370605,15.0900001525879,18.3400001525879,10.2700004577637,24.9599990844727,29.0799999237061,,13.7299995422363,32.0699996948242
"1998",13.7299995422363,25.0599994659424,27.6599998474121,11.2200002670288,30.5699996948242,8.21000003814697,7.53999996185303,24.8799991607666,14.539999961853,8.13000011444092,18.1399993896484,8.63000011444092,27.7099990844727,12.6000003814697,24.2700004577637,30.6700000762939,26,15.2399997711182,19.0100002288818,10.0600004196167,20.1599998474121,26.6499996185303,28.1599998474121,4.94000005722046,21.3199996948242,12.1300001144409,8.72999954223633,8.68000030517578,31.3099994659424,17.1599998474121,8.35999965667725,29.0699996948242,18.5200004577637,31.7199993133545,5.8600001335144,8.46000003814697,16.1800003051758,3.25999999046326,5.17999982833862,15.4799995422363,11.5100002288818,15.4700002670288,22.1100006103516,25.2099990844727,24.3500003814697,15.8900003433228,18.9799995422363,10.289999961853,25.4500007629395,29.6499996185303,,13.3599996566772,
"1999",13.1999998092651,25.8400001525879,28.7399997711182,10.9300003051758,31.3099994659424,8.15999984741211,7.84000015258789,25.3899993896484,14.1599998474121,7.57999992370606,18.25,8.90999984741211,27.9500007629395,12.9899997711182,24.5400009155273,31.1700000762939,26.3700008392334,15.3599996566772,19.8400001525879,10.0900001525879,19.6200008392334,28.0499992370605,28.4400005340576,5.11999988555908,21.8400001525879,13.0100002288818,9.22999954223633,9.02000045776367,32.3699989318848,17.8799991607666,8.1899995803833,29.7299995422363,19.0499992370605,32.1100006103516,,9.17000007629394,16.3899993896484,3.27999997138977,4.92999982833862,16.6200008392334,11.789999961853,15.9700002670288,21.9099998474121,25.6700000762939,24.1599998474121,16.6299991607666,20.0100002288818,9.47999954223633,25.9099998474121,30.3799991607666,,12.1800003051758,
